Date,Open (Spot Price USD),High (Spot Price USD),Low (Spot Price USD),Close (Spot Price USD)
02-01-2020 00:00,1549.372,1553.142,1544.418,1550.341
03-01-2020 00:00,1569.728,1575.866,1565.958,1570.912
06-01-2020 00:00,1598.699,1599.13,1582.651,1587.39
07-01-2020 00:00,1589.329,1595.468,1587.821,1593.637
08-01-2020 00:00,1599.237,1600.53,1573.928,1581.682
09-01-2020 00:00,1573.174,1576.836,1566.389,1572.743
10-01-2020 00:00,1574.789,1583.082,1574.251,1582.221
13-01-2020 00:00,1576.19,1576.513,1570.051,1570.481
14-01-2020 00:00,1566.173,1570.374,1562.512,1569.081
15-01-2020 00:00,1574.682,1580.282,1570.481,1578.236
16-01-2020 00:00,1575.328,1577.482,1569.835,1575.759
17-01-2020 00:00,1577.913,1583.082,1575.759,1578.667
21-01-2020 00:00,1569.943,1581.682,1567.574,1580.39
22-01-2020 00:00,1579.744,1581.144,1576.513,1580.928
23-01-2020 00:00,1583.19,1589.867,1579.097,1584.482
24-01-2020 00:00,1582.113,1598.053,1582.005,1593.745
27-01-2020 00:00,1607.315,1608.176,1598.914,1604.622
28-01-2020 00:00,1597.837,1599.991,1588.898,1590.298
29-01-2020 00:00,1590.729,1599.991,1589.76,1598.914
30-01-2020 00:00,1601.391,1608.069,1594.068,1599.022
31-01-2020 00:00,1603.438,1612.054,1602.684,1608.284
03-02-2020 00:00,1601.068,1602.361,1590.514,1597.837
04-02-2020 00:00,1582.867,1583.513,1570.266,1577.051
05-02-2020 00:00,1576.513,1581.144,1574.143,1578.99
06-02-2020 00:00,1586.206,1589.975,1583.19,1587.498
07-02-2020 00:00,1592.129,1595.899,1586.852,1591.698
10-02-2020 00:00,1596.222,1598.806,1592.991,1595.791
11-02-2020 00:00,1594.283,1595.683,1583.298,1590.298
12-02-2020 00:00,1587.713,1591.914,1584.913,1589.006
13-02-2020 00:00,1596.545,1600.207,1593.421,1598.053
14-02-2020 00:00,1601.93,1606.13,1600.745,1604.73
18-02-2020 00:00,1614.208,1627.239,1609.792,1625.301
19-02-2020 00:00,1626.27,1635.101,1624.331,1634.778
20-02-2020 00:00,1637.04,1645.979,1636.501,1641.456
21-02-2020 00:00,1663.211,1671.719,1660.519,1666.119
24-02-2020 00:00,1707.045,1707.368,1673.227,1681.089
25-02-2020 00:00,1670.642,1680.982,1646.841,1651.041
26-02-2020 00:00,1656.641,1672.366,1646.733,1658.257
27-02-2020 00:00,1675.597,1683.028,1657.503,1658.58
28-02-2020 00:00,1644.687,1645.333,1583.729,1598.053
02-03-2020 00:00,1615.5,1623.362,1605.161,1606.884
03-03-2020 00:00,1624.547,1671.935,1623.47,1657.395
04-03-2020 00:00,1662.888,1668.919,1655.349,1660.303
05-03-2020 00:00,1680.766,1697.567,1677.104,1696.167
06-03-2020 00:00,1705.214,1715.123,1664.396,1696.814
09-03-2020 00:00,1708.122,1716.415,1683.674,1699.614
10-03-2020 00:00,1682.059,1684.536,1662.78,1663.75
11-03-2020 00:00,1682.813,1685.505,1654.38,1657.826
12-03-2020 00:00,1631.978,1632.194,1581.575,1591.698
13-03-2020 00:00,1609.253,1611.192,1524.817,1543.126
16-03-2020 00:00,1481.521,1539.679,1466.012,1525.463
17-03-2020 00:00,1509.739,1574.574,1507.046,1546.141
18-03-2020 00:00,1526.648,1538.818,1491.645,1515.339
19-03-2020 00:00,1497.892,1513.185,1484.645,1486.691
20-03-2020 00:00,1515.447,1520.401,1498.538,1508.985
23-03-2020 00:00,1536.664,1582.436,1532.356,1575.651
24-03-2020 00:00,1653.195,1676.458,1637.579,1652.118
25-03-2020 00:00,1643.287,1646.518,1626.378,1629.501
26-03-2020 00:00,1651.149,1667.304,1637.902,1650.395
27-03-2020 00:00,1647.81,1653.734,1637.04,1639.733
30-03-2020 00:00,1641.456,1648.672,1632.409,1646.948
31-03-2020 00:00,1630.147,1634.886,1593.637,1594.499
01-04-2020 00:00,1596.114,1616.362,1592.345,1609.576
02-04-2020 00:00,1628.424,1642.425,1623.039,1635.963
03-04-2020 00:00,1639.517,1648.779,1633.378,1644.04
06-04-2020 00:00,1660.303,1693.259,1658.149,1689.598
07-04-2020 00:00,1672.904,1681.628,1662.673,1680.551
08-04-2020 00:00,1679.151,1679.474,1664.934,1665.58
09-04-2020 00:00,1702.522,1713.292,1693.152,1709.091
13-04-2020 00:00,1714.261,1748.833,1708.445,1738.386
14-04-2020 00:00,1752.602,1770.803,1742.371,1752.064
15-04-2020 00:00,1742.586,1750.556,1731.924,1743.125
16-04-2020 00:00,1743.448,1757.125,1730.2,1741.617
17-04-2020 00:00,1720.184,1723.954,1702.952,1707.799
20-04-2020 00:00,1708.337,1725.569,1706.614,1719.969
21-04-2020 00:00,1697.352,1714.692,1691.321,1708.23
22-04-2020 00:00,1728.585,1741.94,1727.723,1741.832
23-04-2020 00:00,1748.94,1761.972,1743.017,1759.172
24-04-2020 00:00,1756.91,1758.849,1732.785,1751.633
27-04-2020 00:00,1743.448,1744.74,1727.616,1740.001
28-04-2020 00:00,1732.785,1733.755,1714.153,1732.247
29-04-2020 00:00,1724.277,1743.125,1720.615,1741.832
30-04-2020 00:00,1725.569,1732.031,1703.06,1710.276
01-05-2020 00:00,1701.66,1728.046,1699.506,1720.831
04-05-2020 00:00,1726.754,1733.431,1722.231,1726.862
05-05-2020 00:00,1724.923,1735.047,1715.984,1734.185
06-05-2020 00:00,1712.322,1721.154,1702.737,1711.891
07-05-2020 00:00,1717.815,1744.309,1716.307,1738.17
08-05-2020 00:00,1734.832,1744.74,1723.2,1727.723
11-05-2020 00:00,1726.862,1730.847,1711.245,1716.953
12-05-2020 00:00,1726.431,1733.431,1720.184,1723.631
13-05-2020 00:00,1733.324,1740.647,1729.016,1740.217
14-05-2020 00:00,1739.678,1759.172,1739.463,1755.618
15-05-2020 00:00,1766.495,1774.896,1756.372,1765.526
18-05-2020 00:00,1769.834,1771.665,1749.156,1752.171
19-05-2020 00:00,1761.972,1770.911,1755.941,1769.08
20-05-2020 00:00,1772.096,1776.619,1765.095,1773.28
21-05-2020 00:00,1760.464,1761.757,1737.955,1747.433
22-05-2020 00:00,1754.218,1760.572,1752.71,1757.772
26-05-2020 00:00,1750.987,1750.987,1730.631,1732.785
27-05-2020 00:00,1716.953,1737.632,1714.584,1735.909
28-05-2020 00:00,1746.032,1749.694,1732.893,1741.724
29-05-2020 00:00,1750.987,1759.818,1748.186,1754.541
01-06-2020 00:00,1754.648,1763.48,1748.94,1762.618
02-06-2020 00:00,1765.095,1767.142,1743.232,1751.202
03-06-2020 00:00,1726.862,1732.893,1710.491,1718.892
04-06-2020 00:00,1735.478,1743.34,1721.477,1736.986
05-06-2020 00:00,1709.414,1709.414,1691.321,1701.768
08-06-2020 00:00,1711.353,1721.692,1706.722,1720.184
09-06-2020 00:00,1735.047,1742.371,1732.57,1736.77
10-06-2020 00:00,1745.817,1762.295,1728.8,1761.649
11-06-2020 00:00,1759.28,1766.926,1744.417,1748.94
12-06-2020 00:00,1759.926,1764.988,1750.771,1751.417
15-06-2020 00:00,1728.8,1750.771,1724.923,1748.294
16-06-2020 00:00,1743.125,1752.171,1737.847,1747.433
17-06-2020 00:00,1744.74,1751.417,1742.263,1750.771
18-06-2020 00:00,1746.894,1748.186,1738.709,1747.325
19-06-2020 00:00,1754.11,1767.249,1753.141,1766.603
22-06-2020 00:00,1777.696,1784.912,1770.696,1778.019
23-06-2020 00:00,1783.835,1793.42,1782.65,1792.99
24-06-2020 00:00,1787.928,1798.482,1781.896,1786.743
25-06-2020 00:00,1786.635,1786.851,1778.773,1785.666
26-06-2020 00:00,1775.65,1793.851,1768.649,1793.636
29-06-2020 00:00,1793.851,1796.436,1789.759,1794.605
30-06-2020 00:00,1791.159,1809.252,1789.866,1802.575
01-07-2020 00:00,1799.129,1799.236,1780.712,1794.497
02-07-2020 00:00,1789.974,1801.175,1788.035,1798.375
06-07-2020 00:00,1806.668,1809.36,1800.636,1809.145
07-07-2020 00:00,1803.006,1820.561,1802.683,1820.561
08-07-2020 00:00,1834.346,1840.162,1828.531,1831.869
09-07-2020 00:00,1836.07,1837.793,1817.761,1826.915
10-07-2020 00:00,1830.361,1832.515,1815.499,1822.176
